Model: boxes_aligned
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-0.89  0.36  0.  ]
Goal Point: [ 0.59 -0.57  0.  ]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.1 seconds
  Number of Paths: 100
  Average Path Length: 2.1988
  Shortest Path Length: 1.89
  Longest Path Length: 2.99
  Path Length Std Dev: 0.19098837660967752
  Average Time Per Path: 0.10869999999999999 seconds
  Time Per Path Std Dev: 0.04408298991674678 seconds

  Paths:
    Path 74: Length = 1.94 units, Duration = 5.01 seconds
    Path 75: Length = 1.92 units, Duration = 5.02 seconds
    Path 76: Length = 1.93 units, Duration = 5.01 seconds
    Path 77: Length = 1.91 units, Duration = 5.05 seconds
    Path 78: Length = 1.9 units, Duration = 5.03 seconds
    Path 79: Length = 1.9 units, Duration = 5.49 seconds
    Path 80: Length = 1.92 units, Duration = 5.02 seconds
    Path 81: Length = 1.88 units, Duration = 5.02 seconds
    Path 82: Length = 1.89 units, Duration = 5.02 seconds
    Path 83: Length = 1.89 units, Duration = 5.01 seconds
    Path 84: Length = 1.9 units, Duration = 5.09 seconds
    Path 85: Length = 1.87 units, Duration = 5.47 seconds
    Path 86: Length = 1.91 units, Duration = 5.02 seconds
    Path 87: Length = 1.9 units, Duration = 5.03 seconds
    Path 88: Length = 1.9 units, Duration = 5.04 seconds
    Path 89: Length = 1.89 units, Duration = 5.01 seconds
    Path 90: Length = 1.9 units, Duration = 5.08 seconds
    Path 91: Length = 1.89 units, Duration = 5.47 seconds
    Path 92: Length = 1.89 units, Duration = 5.04 seconds
    Path 93: Length = 1.89 units, Duration = 5.02 seconds
    Path 94: Length = 1.9 units, Duration = 5.01 seconds
    Path 95: Length = 1.9 units, Duration = 5.06 seconds
    Path 96: Length = 1.91 units, Duration = 5.03 seconds
    Path 97: Length = 1.92 units, Duration = 5.47 seconds
