Model: cuboids_0.7_0
Mesh: TriangleMesh with 223016 points and 334524 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.37 seconds
  Number of Paths: 100
  Average Path Length: 0.723
  Shortest Path Length: 0.65
  Longest Path Length: 0.92
  Path Length Std Dev: 0.04982971001320397
  Average Time Per Path: 0.10009999999999998 seconds
  Time Per Path Std Dev: 0.0009949874371066195 seconds

  Paths:
    Path 29: Length = 0.66 units, Duration = 5.05 seconds
    Path 30: Length = 0.66 units, Duration = 5.04 seconds
    Path 31: Length = 0.67 units, Duration = 5.03 seconds
    Path 32: Length = 0.67 units, Duration = 5.05 seconds
    Path 33: Length = 0.66 units, Duration = 5.07 seconds
    Path 34: Length = 0.66 units, Duration = 5.05 seconds
    Path 35: Length = 0.67 units, Duration = 5.05 seconds
    Path 36: Length = 0.65 units, Duration = 5.04 seconds
    Path 37: Length = 0.66 units, Duration = 5.05 seconds
    Path 38: Length = 0.66 units, Duration = 5.05 seconds
    Path 39: Length = 0.66 units, Duration = 5.07 seconds
    Path 40: Length = 0.66 units, Duration = 5.05 seconds
    Path 41: Length = 0.66 units, Duration = 5.05 seconds
    Path 42: Length = 0.65 units, Duration = 5.04 seconds
    Path 43: Length = 0.67 units, Duration = 5.04 seconds
    Path 44: Length = 0.66 units, Duration = 5.04 seconds
    Path 45: Length = 0.67 units, Duration = 5.07 seconds
    Path 46: Length = 0.66 units, Duration = 5.05 seconds
    Path 47: Length = 0.66 units, Duration = 5.04 seconds
    Path 48: Length = 0.66 units, Duration = 5.05 seconds
    Path 49: Length = 0.65 units, Duration = 5.04 seconds
    Path 50: Length = 0.67 units, Duration = 5.06 seconds
    Path 51: Length = 0.66 units, Duration = 5.02 seconds
    Path 52: Length = 0.66 units, Duration = 5.05 seconds
    Path 53: Length = 0.65 units, Duration = 5.08 seconds
    Path 54: Length = 0.66 units, Duration = 5.05 seconds
